序号    　　　电影名称　　　	　　　　评分　　　　	　　　　　　短评　　　　　　
1     　　肖申克的救赎　　	　　　9.6　　　　	　　　希望让人自由。　　　　
2     　　　霸王别姬　　　	　　　9.5　　　　	　　　　风华绝代。　　　　　
3     　这个杀手不太冷　　	　　　9.4　　　　	怪蜀黍和小萝莉不得不说的故事。
4     　　　阿甘正传　　　	　　　9.4　　　　	　　一部美国近现代史。　　　
5     　　　美丽人生　　　	　　　9.5　　　　	　　　　最美的谎言。　　　　
6     　　　千与千寻　　　	　　　9.3　　　　	最好的宫崎骏，最好的久石让。 
7     　　泰坦尼克号　　　	　　　9.3　　　　	　　失去的才是永恒的。 　　
8     　　辛德勒的名单　　	　　　9.4　　　　	拯救一个人，就是拯救整个世界。
9     　　　盗梦空间　　　	　　　9.3　　　　	诺兰给了我们一场无法盗取的梦。
10    　　机器人总动员　　	　　　9.3　　　　	　　　小瓦力，大人生。　　　
11    　三傻大闹宝莱坞　　	　　　9.2　　　　	英俊版憨豆，高情商版谢耳朵。
12    　　海上钢琴师　　　	　　　9.2　　　　	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
13    　忠犬八公的故事　　	　　　9.2　　　　	永远都不能忘记你所爱的人。　
14    　　放牛班的春天　　	　　　9.2　　　　	天籁一般的童声，是最接近上帝的存在。 
15    大话西游之大圣娶亲　	　　　9.2　　　　	　　　　一生所爱。　　　　　
16    　　楚门的世界　　　	　　　9.1　　　　	如果再也不能见到你，祝你早安，午安，晚安。
17    　　　　龙猫　　　　	　　　9.1　　　　	人人心中都有个龙猫，童年就永远不会消失。
18    　　　　教父　　　　	　　　9.2　　　　	千万不要记恨你的对手，这样会让你失去理智。
19    　　　星际穿越　　　	　　　9.2　　　　	爱是一种力量，让我们超越时空感知它的存在。
20    　　　　熔炉　　　　	　　　9.2　　　　	我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21    　　　乱世佳人　　　	　　　9.2　　　　	Tomorrow is another day.
22    　　　触不可及　　　	　　　9.2　　　　	　　满满温情的高雅喜剧。　　
23    　　　无间道　　　　	　　　9.1　　　　	香港电影史上永不过时的杰作。
24    　　当幸福来敲门　　	　　　8.9　　　　	　　　平民励志片。 　　　　
25    　　天堂电影院　　　	　　　9.1　　　　	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
26    　　　怦然心动　　　	　　　8.9　　　　	真正的幸福是来自内心深处。　
27    　　　十二怒汉　　　	　　　9.4　　　　	　1957年的理想主义。 　
28    　少年派的奇幻漂流　	　　　9.0　　　　	瑰丽壮观、无人能及的冒险之旅。
29    　　搏击俱乐部　　　	　　　9.0　　　　	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
30    　蝙蝠侠：黑暗骑士　	　　　9.1　　　　	　　　　无尽的黑暗。　　　　
31    　　　鬼子来了　　　	　　　9.2　　　　	对敌人的仁慈，就是对自己残忍。
32    　　　　活着　　　　	　　　9.1　　　　	　　张艺谋最好的电影。　　　
33    指环王3：王者无敌　	　　　9.1　　　　	　　　　史诗的终章。　　　　
34    　　　天空之城　　　	　　　9.0　　　　	对天空的追逐，永不停止。 　
35    　　疯狂动物城　　　	　　　9.1　　　　	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
36    大话西游之月光宝盒　	　　　8.9　　　　	　　　　旷古烁今。　　　　　
37    　　　罗马假日　　　	　　　8.9　　　　	　　爱情哪怕只有一天。　　　
38    　　飞屋环游记　　　	　　　8.9　　　　	最后那些最无聊的事情，才是最值得怀念的。 
39    　　　控方证人　　　	　　　9.6　　　　	　　比利·怀德满分作品。　　
40    　　　窃听风暴　　　	　　　9.1　　　　	　　　　别样人生。　　　　　
41    　　两杆大烟枪　　　	　　　9.1　　　　	4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
42    　　飞越疯人院　　　	　　　9.0　　　　	　　　　自由万岁。　　　　　
43    　　闻香识女人　　　	　　　8.9　　　　	　　　史上最美的探戈。　　　
44    　哈尔的移动城堡　　	　　　8.9　　　　	　带着心爱的人在天空飞翔。　
